rule_id,rule_set,description,smarts,rule_set_name,priority,max,set_desc
1,1,R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]",Glaxo,8,0,Glaxo_R1 Reactive alkyl halides
2,1,R2 Acid halides,"[S,C](=[O,S])[F,Br,Cl,I]",Glaxo,8,0,Glaxo_R2 Acid halides
3,1,R3 Carbazides,O=CN=[N+]=[N-],Glaxo,8,0,Glaxo_R3 Carbazides
4,1,R4 Sulphate esters,"COS(=O)O[C,c]",Glaxo,8,0,Glaxo_R4 Sulphate esters
5,1,R5 Sulphonates,"COS(=O)(=O)[C,c]",Glaxo,8,0,Glaxo_R5 Sulphonates
6,1,R6 Acid anhydrides,C(=O)OC(=O),Glaxo,8,0,Glaxo_R6 Acid anhydrides
7,1,R7 Peroxides,OO,Glaxo,8,0,Glaxo_R7 Peroxides
8,1,R8 Pentafluorophenyl esters,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F),Glaxo,8,0,Glaxo_R8 Pentafluorophenyl esters
9,1,R9 Paranitrophenyl esters,C(=O)Oc1ccc(N(=O)~[OX1])cc1,Glaxo,8,0,Glaxo_R9 Paranitrophenyl esters
10,1,R10 esters of HOBT,C(=O)Onnn,Glaxo,8,0,Glaxo_R10 esters of HOBT
11,1,R11 Isocyanates & Isothiocyanates,"N=C=[S,O]",Glaxo,8,0,Glaxo_R11 Isocyanates & Isothiocyanates
12,1,R12 Triflates,OS(=O)(=O)C(F)(F)F,Glaxo,8,0,Glaxo_R12 Triflates
13,1,R13 lawesson's reagent and derivatives,P(=S)(S)S,Glaxo,8,0,Glaxo_R13 lawesson's reagent and derivatives
14,1,R14 phosphoramides,NP(=O)(N)N,Glaxo,8,0,Glaxo_R14 phosphoramides
15,1,R15 Aromatic azides,cN=[N+]=[N-],Glaxo,8,0,Glaxo_R15 Aromatic azides
16,1,R16 beta carbonyl quaternary Nitrogen,"C(=O)C[N+,n+]",Glaxo,8,0,Glaxo_R16 beta carbonyl quaternary Nitrogen
17,1,R17 acylhydrazide,[N;R0][N;R0]C(=O),Glaxo,8,0,Glaxo_R17 acylhydrazide
18,1,"R18 Quaternary C, Cl, I, P or S","[C+,Cl+,I+,P+,S+]",Glaxo,8,0,"Glaxo_R18 Quaternary C, Cl, I, P or S"
19,1,R19 Phosphoranes,C=P,Glaxo,8,0,Glaxo_R19 Phosphoranes
20,1,R20 Chloramidines,[Cl]C([C&R0])=N,Glaxo,8,0,Glaxo_R20 Chloramidines
21,1,R21 Nitroso,[N&D2](=O),Glaxo,8,0,Glaxo_R21 Nitroso
22,1,R22 P/S Halides,"[P,S][Cl,Br,F,I]",Glaxo,8,0,Glaxo_R22 P/S Halides
23,1,R23 Carbodiimide,N=C=N,Glaxo,8,0,Glaxo_R23 Carbodiimide
24,1,R24 Isonitrile,[N+]#[C-],Glaxo,8,0,Glaxo_R24 Isonitrile
25,1,R25 Triacyloximes,C(=O)N(C(=O))OC(=O),Glaxo,8,0,Glaxo_R25 Triacyloximes
26,1,R26 Cyanohydrins,N#CC[OH],Glaxo,8,0,Glaxo_R26 Cyanohydrins
27,1,R27 Acyl cyanides,N#CC(=O),Glaxo,8,0,Glaxo_R27 Acyl cyanides
28,1,R28 Sulfonyl cyanides,S(=O)(=O)C#N,Glaxo,8,0,Glaxo_R28 Sulfonyl cyanides
29,1,R29 Cyanophosphonates,P(OCC)(OCC)(=O)C#N,Glaxo,8,0,Glaxo_R29 Cyanophosphonates
30,1,R30 Azocyanamides,[N;R0]=[N;R0]C#N,Glaxo,8,0,Glaxo_R30 Azocyanamides
31,1,R31 Azoalkanals,[N;R0]=[N;R0]CC=O,Glaxo,8,0,Glaxo_R31 Azoalkanals
32,1,I1 Aliphatic methylene chains 7 or more long,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],Glaxo,8,0,Glaxo_I1 Aliphatic methylene chains 7 or more long
33,1,I2 Compounds with 4 or more acidic groups,"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]",Glaxo,8,0,Glaxo_I2 Compounds with 4 or more acidic groups
34,1,I3 Crown ethers,[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1],Glaxo,8,0,Glaxo_I3 Crown ethers
35,1,I4 Disulphides,SS,Glaxo,8,0,Glaxo_I4 Disulphides
36,1,I5 Thiols,[SH],Glaxo,8,0,Glaxo_I5 Thiols
37,1,"I6 Epoxides, Thioepoxides, Aziridines","C1[O,S,N]C1",Glaxo,8,0,"Glaxo_I6 Epoxides, Thioepoxides, Aziridines"
38,1,"I7 2,4,5 trihydroxyphenyl",c([OH])c([OH])c([OH]),Glaxo,8,0,"Glaxo_I7 2,4,5 trihydroxyphenyl"
39,1,"I8 2,3,4 trihydroxyphenyl",c([OH])c([OH])cc([OH]),Glaxo,8,0,"Glaxo_I8 2,3,4 trihydroxyphenyl"
40,1,I9 Hydrazothiourea,N=NC(=S)N,Glaxo,8,0,Glaxo_I9 Hydrazothiourea
41,1,I10 Thiocyanate,SC#N,Glaxo,8,0,Glaxo_I10 Thiocyanate
42,1,I11 Benzylic quaternary Nitrogen,cC[N+],Glaxo,8,0,Glaxo_I11 Benzylic quaternary Nitrogen
43,1,I12 Thioesters,"C[O,S;R0][C;R0](=S)",Glaxo,8,0,Glaxo_I12 Thioesters
